update,mse,gradientNorm,intercept,weight_temp,weight_hum,weight_windspeed,weight_workingday,weight_hr
140,12081.253796,0.462126325742,141.369836964,49.6177878374,-28.1394422776,-0.34532300919,4.80859560937,40.9280675479
150,12081.0883487,0.348344200806,141.623432613,49.6300396446,-28.1316269847,-0.344269767893,4.48896361352,40.9288299713
160,12080.9943427,0.26257686584,141.814589379,49.63927488,-28.1257359219,-0.343475845122,4.2480295963,40.9294046792
170,12080.9409292,0.197926678023,141.958680609,49.6462362678,-28.1212953215,-0.342877396423,4.06641698738,40.9298378867
180,12080.91058,0.149194293062,142.067294513,49.6514836621,-28.1179480601,-0.34242629411,3.92952000579,40.9301644325
190,12080.8933358,0.112460519746,142.149166117,49.6554390727,-28.1154249424,-0.34208625959,3.82632902318,40.9304105782
200,12080.8835378,0.084771127917,142.210879759,49.6584206045,-28.1135230524,-0.341829946428,3.7485451395,40.9305961192
210,12080.8779706,0.063899261221,142.257398617,49.6606680404,-28.112089435,-0.341636741236,3.68991276283,40.9307359774
220,12080.8748074,0.0481663472567,142.292463866,49.6623621254,-28.1110087947,-0.34149110593,3.64571651766,40.9308414006
230,12080.8730101,0.0363071022062,142.318895548,49.6636391024,-28.1101942235,-0.341381328124,3.61240202151,40.930920867
240,12080.8719888,0.0273677732627,142.338819371,49.6646016694,-28.1095802115,-0.341298579188,3.5872900318,40.9309807676
250,12080.8714086,0.0206294352301,142.353837664,49.6653272385,-28.109117378,-0.341236204225,3.56836097388,40.9310259199
260,12080.8710789,0.0155501726001,142.365158237,49.6658741622,-28.1087685007,-0.341189186872,3.55409252132,40.931059955
270,12080.8708916,0.0117214972293,142.373691523,49.6662864254,-28.1085055221,-0.341153745866,3.54333716629,40.9310856102
280,12080.8707851,0.00883549661025,142.380123792,49.6665971835,-28.1083072925,-0.341127030943,3.53522993382,40.9311049487
290,12080.8707247,0.0066600707079,142.384972344,49.6668314285,-28.1081578699,-0.341106893617,3.52911881819,40.9311195258
300,12080.8706903,0.00502026584252,142.388627113,49.667007999,-28.1080452373,-0.341091714389,3.52451234681,40.9311305138
310,12080.8706708,0.00378420443791,142.391382025,49.6671410953,-28.1079603365,-0.341080272505,3.52104005471,40.9311387964
320,12080.8706597,0.00285247906726,142.393458639,49.6672414214,-28.1078963394,-0.341071647777,3.51842269069,40.9311450397
330,12080.8706534,0.00215015783703,142.39502396,49.6673170458,-28.1078480994,-0.34106514658,3.51644975921,40.9311497458
340,12080.8706498,0.0016207581599,142.396203877,49.6673740504,-28.1078117367,-0.341060246071,3.51496259173,40.9311532932
350,12080.8706477,0.00122170427103,142.397093282,49.6674170196,-28.1077843271,-0.341056552138,3.51384158621,40.9311559672
360,12080.8706466,0.000920903169118,142.397763702,49.6674494092,-28.1077636661,-0.341053767704,3.51299658831,40.9311579828
370,12080.8706459,0.000694163609806,142.398269055,49.667473824,-28.1077480921,-0.341051668837,3.512359641,40.9311595022
380,12080.8706456,0.000523250579813,142.398649983,49.6674922276,-28.1077363527,-0.341050086742,3.51187951925,40.9311606474
390,12080.8706454,0.000394418787444,142.398937121,49.6675060999,-28.1077275036,-0.341048894181,3.51151761036,40.9311615107
400,12080.8706452,0.000297307228879,142.399153562,49.6675165566,-28.1077208334,-0.341047995246,3.51124480862,40.9311621614
410,12080.8706452,0.000224105927888,142.399316712,49.6675244388,-28.1077158054,-0.341047317641,3.51103917458,40.9311626519
420,12080.8706451,0.000168927836373,142.399439692,49.6675303802,-28.1077120154,-0.341046806873,3.51088417059,40.9311630217
430,12080.8706451,0.000127335381869,142.399532392,49.6675348588,-28.1077091586,-0.341046421863,3.51076733081,40.9311633004
440,12080.8706451,9.59835858035e-05,142.399602268,49.6675382347,-28.1077070051,-0.341046131648,3.51067925865,40.9311635104
450,12080.8706451,7.23510512422e-05,142.39965494,49.6675407794,-28.1077053819,-0.341045912888,3.51061287112,40.9311636688
460,12080.8706451,5.45371854527e-05,142.399694644,49.6675426976,-28.1077041583,-0.34104574799,3.51056282915,40.9311637882
470,12080.8706451,4.11093487209e-05,142.399724571,49.6675441434,-28.107703236,-0.341045623692,3.51052510823,40.9311638781
480,12080.8706451,3.09876378482e-05,142.39974713,49.6675452333,-28.1077025408,-0.341045529998,3.51049667475,40.931163946
490,12080.8706451,2.33580372651e-05,142.399764135,49.6675460549,-28.1077020167,-0.341045459373,3.51047524199,40.9311639971
500,12080.8706451,1.76069537057e-05,142.399776953,49.6675466741,-28.1077016217,-0.341045406136,3.51045908629,40.9311640356
510,12080.8706451,1.32718693627e-05,142.399786615,49.6675471409,-28.107701324,-0.341045366008,3.51044690835,40.9311640647
520,12080.8706451,1.00041448957e-05,142.399793898,49.6675474928,-28.1077010995,-0.341045335759,3.51043772879,40.9311640866
530,12080.8706451,7.54098104299e-06,142.399799388,49.667547758,-28.1077009303,-0.341045312959,3.51043080938,40.9311641031
540,12080.8706451,5.68428341888e-06,142.399803526,49.6675479579,-28.1077008028,-0.341045295772,3.51042559362,40.9311641155
550,12080.8706451,4.28473138395e-06,142.399806645,49.6675481086,-28.1077007067,-0.341045282816,3.51042166206,40.9311641249
560,12080.8706451,3.22976910947e-06,142.399808997,49.6675482222,-28.1077006342,-0.341045273051,3.5104186985,40.931164132
570,12080.8706451,2.43455366543e-06,142.399810769,49.6675483079,-28.1077005796,-0.34104526569,3.51041646461,40.9311641373
580,12080.8706451,1.83513165778e-06,142.399812105,49.6675483724,-28.1077005384,-0.341045260141,3.51041478074,40.9311641413
590,12080.8706451,1.38329595364e-06,142.399813112,49.6675484211,-28.1077005074,-0.341045255959,3.51041351146,40.9311641443
600,12080.8706451,1.04270866649e-06,142.399813871,49.6675484577,-28.107700484,-0.341045252806,3.5104125547,40.9311641466
610,12080.8706451,7.85978834366e-07,142.399814443,49.6675484854,-28.1077004663,-0.341045250429,3.51041183351,40.9311641483
620,12080.8706451,5.9245959571e-07,142.399814875,49.6675485062,-28.1077004531,-0.341045248638,3.51041128988,40.9311641496
630,12080.8706451,4.46587540145e-07,142.3998152,49.6675485219,-28.107700443,-0.341045247288,3.5104108801,40.9311641506
640,12080.8706451,3.36631285382e-07,142.399815445,49.6675485338,-28.1077004355,-0.34104524627,3.51041057122,40.9311641514
650,12080.8706451,2.5374784458e-07,142.39981563,49.6675485427,-28.1077004298,-0.341045245503,3.51041033839,40.9311641519
660,12080.8706451,1.91271486171e-07,142.399815769,49.6675485494,-28.1077004255,-0.341045244924,3.51041016288,40.9311641523
670,12080.8706451,1.44177706398e-07,142.399815874,49.6675485545,-28.1077004223,-0.341045244488,3.51041003059,40.9311641526
680,12080.8706451,1.08679084272e-07,142.399815953,49.6675485583,-28.1077004198,-0.34104524416,3.51040993086,40.9311641529
690,12080.8706451,8.19207479701e-08,142.399816012,49.6675485612,-28.107700418,-0.341045243912,3.5104098557,40.9311641531
700,12080.8706451,6.1750661069e-08,142.399816057,49.6675485634,-28.1077004166,-0.341045243725,3.51040979903,40.9311641532
710,12080.8706451,4.65467696772e-08,142.399816091,49.667548565,-28.1077004156,-0.341045243585,3.51040975632,40.9311641533
720,12080.8706451,3.50863145756e-08,142.399816117,49.6675485662,-28.1077004148,-0.341045243478,3.51040972413,40.9311641534
730,12080.8706451,2.644754996e-08,142.399816136,49.6675485672,-28.1077004142,-0.341045243399,3.51040969986,40.9311641534
740,12080.8706451,1.99357744586e-08,142.399816151,49.6675485679,-28.1077004137,-0.341045243338,3.51040968157,40.9311641535
750,12080.8706451,1.50273223705e-08,142.399816162,49.6675485684,-28.1077004134,-0.341045243293,3.51040966778,40.9311641535
760,12080.8706451,1.13273848744e-08,142.39981617,49.6675485688,-28.1077004131,-0.341045243259,3.51040965739,40.9311641535
765,12080.8706451,9.83452125266e-09,142.399816173,49.6675485689,-28.107700413,-0.341045243245,3.51040965319,40.9311641535
