stage_id,order,feature_count_before_encoding,estimator,alpha,includes_atemp,train_mse,train_rmse,train_mae,train_r2,validation_mse,validation_rmse,validation_mae,validation_r2
temperature-only,0,1,ols,,False,15091.5485665,122.847664066,94.5396291789,0.167178243971,48060.5246335,219.227107433,166.660820766,-0.0349456356014
core-five,1,5,ols,,False,12080.8706451,109.913013993,81.8267602481,0.333321437449,39124.3605148,197.798787951,141.125344125,0.157487637322
calendar-categories,2,11,ols,,False,11213.4821785,105.893730591,79.9555962753,0.381187962394,33241.0245855,182.321212659,141.217837148,0.284180653872
calendar-weather-cycle,3,14,ols,,False,9089.18916717,95.3372391418,69.9651972632,0.498416318927,27839.0710945,166.850445293,127.004317522,0.400507477847
ridge-with-atemp,4,15,ridge,10,True,9084.60089271,95.3131727135,69.880316772,0.498669521226,27900.9852154,167.035880024,126.453081476,0.399174205901
lasso-with-atemp,5,15,lasso,1,True,9348.29953402,96.686604729,69.9455159953,0.484117405215,29970.6142475,173.120230613,124.526843601,0.354606370855
