benchmark,optimizer,update,parameter,train_loss
circle-2-4-1-tanh,rmsprop,2,0.858337183747,0.010941169303
circle-2-4-1-tanh,rmsprop,3,0.892959968814,0.007594662313
circle-2-4-1-tanh,rmsprop,4,0.919843407923,0.005502178824
circle-2-4-1-tanh,rmsprop,5,0.941741948749,0.004093240311
circle-2-4-1-tanh,rmsprop,6,0.960109869979,0.003099608632
circle-2-4-1-tanh,rmsprop,7,0.975820853453,0.00237645663
circle-2-4-1-tanh,rmsprop,8,0.989446266302,0.001838170285
circle-2-4-1-tanh,rmsprop,9,1.001383054804,0.001430776625
circle-2-4-1-tanh,rmsprop,10,1.011919832505,0.001118573997
circle-2-4-1-tanh,rmsprop,11,1.021274075631,0.000877050289
circle-2-4-1-tanh,rmsprop,12,1.029614467899,0.000688869841
circle-2-4-1-tanh,rmsprop,13,1.037075033316,0.000541474504
circle-2-4-1-tanh,rmsprop,14,1.043764455566,0.000425585939
circle-2-4-1-tanh,rmsprop,15,1.04977243848,0.000334236249
circle-2-4-1-tanh,rmsprop,16,1.055174173934,0.000262121137
circle-2-4-1-tanh,rmsprop,17,1.060033557765,0.000205156856
circle-2-4-1-tanh,rmsprop,18,1.064405553116,0.000160169791
circle-2-4-1-tanh,rmsprop,19,1.068337958439,0.000124674575
circle-2-4-1-tanh,rmsprop,20,1.071872750446,0.000096712688
circle-2-4-1-tanh,rmsprop,21,1.075047117641,0.000074733173
circle-2-4-1-tanh,rmsprop,22,1.07789426468,0.000057503239
circle-2-4-1-tanh,rmsprop,23,1.080444044364,0.000044040393
circle-2-4-1-tanh,rmsprop,24,1.082723458273,0.000033560335
circle-2-4-1-tanh,rmsprop,25,1.084757056075,0.000025436526
circle-2-4-1-tanh,rmsprop,26,1.086567255958,0.000019168534
circle-2-4-1-tanh,rmsprop,27,1.088174603108,0.00001435704
circle-2-4-1-tanh,rmsprop,28,1.089597979284,0.000010683971
circle-2-4-1-tanh,rmsprop,29,1.09085477359,0.000007896597
circle-2-4-1-tanh,rmsprop,30,1.091961022442,0.000005794753
circle-2-4-1-tanh,rmsprop,31,1.092931525076,0.000004220515
circle-2-4-1-tanh,rmsprop,32,1.093779939712,0.000003049855
circle-2-4-1-tanh,rmsprop,33,1.094518864513,0.000002185862
circle-2-4-1-tanh,rmsprop,34,1.095159906729,0.00000155325
circle-2-4-1-tanh,rmsprop,35,1.095713742768,0.000001093904
circle-2-4-1-tanh,rmsprop,36,1.096190171447,7.6327e-7
circle-2-4-1-tanh,rmsprop,37,1.096598162252,5.27446e-7
circle-2-4-1-tanh,rmsprop,38,1.096945900048,3.60841e-7
circle-2-4-1-tanh,rmsprop,39,1.097240827401,2.44301e-7
circle-2-4-1-tanh,rmsprop,40,1.097489685376,1.6362e-7
circle-2-4-1-tanh,adam,0,0.72,0.033522203373
circle-2-4-1-tanh,adam,1,0.739999999118,0.02919137605
circle-2-4-1-tanh,adam,2,0.759928973282,0.025269832088
circle-2-4-1-tanh,adam,3,0.779736068923,0.021739971908
circle-2-4-1-tanh,adam,4,0.799368533394,0.018582161576
circle-2-4-1-tanh,adam,5,0.818772418747,0.015775065525
circle-2-4-1-tanh,adam,6,0.837893362173,0.013296018994
circle-2-4-1-tanh,adam,7,0.856677415024,0.011121425635
circle-2-4-1-tanh,adam,8,0.875071887969,0.009227164186
circle-2-4-1-tanh,adam,9,0.893026177843,0.007588987851
circle-2-4-1-tanh,adam,10,0.910492542621,0.006182901005
circle-2-4-1-tanh,adam,11,0.927426794415,0.004985499993
circle-2-4-1-tanh,adam,12,0.943788886196,0.003974267803
circle-2-4-1-tanh,adam,13,0.959543375173,0.003127815936
circle-2-4-1-tanh,adam,14,0.974659753762,0.002426070377
circle-2-4-1-tanh,adam,15,0.989112646886,0.001850402027
circle-2-4-1-tanh,adam,16,1.002881881288,0.001383704729
circle-2-4-1-tanh,adam,17,1.015952438144,0.001010426244
circle-2-4-1-tanh,adam,18,1.028314304275,0.000716558893
circle-2-4-1-tanh,adam,19,1.039962239551,0.000489597274
circle-2-4-1-tanh,adam,20,1.050895478993,0.000318470535
circle-2-4-1-tanh,adam,21,1.061117387617,0.000193456273
circle-2-4-1-tanh,adam,22,1.070635084794,0.000106082381
circle-2-4-1-tanh,adam,23,1.079459052939,0.00004902228
circle-2-4-1-tanh,adam,24,1.087602743076,0.000015987939
circle-2-4-1-tanh,adam,25,1.095082187461,0.000001624172
circle-2-4-1-tanh,adam,26,1.101915627157,0.000001406746
circle-2-4-1-tanh,adam,27,1.108123160346,0.000011546114
circle-2-4-1-tanh,adam,28,1.113726415294,0.000028897907
circle-2-4-1-tanh,adam,29,1.118748250341,0.000050880789
circle-2-4-1-tanh,adam,30,1.123212481998,0.000075401902
circle-2-4-1-tanh,adam,31,1.127143641196,0.000100789803
circle-2-4-1-tanh,adam,32,1.130566757003,0.000125734605
circle-2-4-1-tanh,adam,33,1.133507166498,0.000149234873
circle-2-4-1-tanh,adam,34,1.135990349159,0.000170550779
circle-2-4-1-tanh,adam,35,1.138041783828,0.000189162939
circle-2-4-1-tanh,adam,36,1.139686826187,0.000204736376
circle-2-4-1-tanh,adam,37,1.140950604652,0.000217089072
circle-2-4-1-tanh,adam,38,1.141857932562,0.000226164569
circle-2-4-1-tanh,adam,39,1.142433234657,0.000232008159
circle-2-4-1-tanh,adam,40,1.142700485884,0.000234746211
