iteration,objective,gradient_norm,parameter_step_norm,accepted_step,backtracks,parameter_0,parameter_1,parameter_2,parameter_3,parameter_4
2736,0.012546703507330803,0.00010403758655804522,0.0033303719545069287,32.0,0,-20.567682545679308,-21.54385135495312,-20.178289562653237,-0.28673587725851835,-9.792555510609034
2850,0.012508736032422755,0.00010001439854651822,0.003201552262637549,32.0,0,-20.772078329178257,-21.756952931685444,-20.380727319548114,-0.2967921607934781,-9.893744748333503
2964,0.012473609369991106,9.625373788125104e-05,0.003081141160022645,32.0,0,-20.968658094170607,-21.961961801449,-20.57547089325427,-0.30645276151965267,-9.99099335804891
3078,0.012441041258335846,9.273000601123033e-05,0.002968318475412501,32.0,0,-21.157924815325384,-22.159394528569795,-20.763012067257737,-0.31574247405422856,-10.084559218348144
3192,0.012410785214767215,8.942092143965963e-05,0.0028623703488908974,32.0,0,-21.340333121876135,-22.349718407132052,-20.943795648665315,-0.32468389899639766,-10.174675097388258
3306,0.012382625002467913,8.630698914165259e-05,0.002762672221523096,32.0,0,-21.51629547342135,-22.533357712404467,-21.118225436798397,-0.33329769111334084,-10.261551894145358
3420,0.012356370103420602,8.337106996972181e-05,0.0026686750315219354,32.0,0,-21.686187361788633,-22.710698971991043,-21.28666925478235,-0.3416027736958844,-10.345381363906291
3534,0.012331851988317573,8.059802854038478e-05,0.0025798939270829644,32.0,0,-21.850351719924753,-22.882095438022862,-21.449463217598097,-0.349616524445305,-10.426338424610028
3648,0.01230892102297867,7.797444325682836e-05,0.0024958989715573167,32.0,0,-22.00910268039481,-23.047870903382638,-21.606915373374793,-0.35735493728701667,-10.50458312000581
3762,0.012287443886978087,7.548836592499445e-05,0.002416307438718235,32.0,0,-22.162728796776957,-23.208322975679067,-21.759308826680677,-0.3648327637361692,-10.58026229987102
3876,0.012267301407376313,7.312912125160875e-05,0.0023407773866306898,32.0,0,-22.31149581866642,-23.363725900114428,-21.906904430964563,-0.3720636368205163,-10.65351106544129
3990,0.012248386731090554,7.088713864086282e-05,0.0022690022669870687,32.0,0,-22.455649093459574,-23.51433300483089,-22.04994312049879,-0.3790601800645544,-10.724454018827316
4104,0.012230603775237351,6.875381032205847e-05,0.002200706378509029,32.0,0,-22.595415654342283,-23.660378828552236,-22.18864793900017,-0.3858341036309974,-10.793206347858167
4218,0.01221386590698137,6.672137107642298e-05,0.0021356410126962396,32.0,0,-22.731006043053988,-23.802080979457454,-22.323225811697252,-0.3923962893818804,-10.859874772009842
4332,0.012198094813909101,6.478279578564382e-05,0.002073581170841885,32.0,0,-22.862615907368316,-23.939641765563024,-22.453869099329186,-0.3987568663469203,-10.924558370488143
4446,0.012183219533388941,6.293171176644335e-05,0.002014322754948944,32.0,0,-22.990427406320876,-24.073249629952123,-22.580756965925865,-0.4049252778601451,-10.987349309866048
4560,0.01216917561524297,6.116232343646809e-05,0.001957680153870933,32.0,0,-23.114610450647604,-24.203080418593032,-22.704056586868365,-0.41091034143736543,-11.048333485724037
4674,0.012155904396718282,5.946934731505813e-05,0.0019034841606907678,32.0,0,-23.235323801383988,-24.32929850395002,-22.823924219389184,-0.4167203023102459,-11.107591090352436
4788,0.012143352372471746,5.78479557261718e-05,0.0018515801689488322,32.0,0,-23.35271604589655,-24.452057783885913,-22.94050615413141,-0.42236288140140466,-11.165197116629768
4902,0.01213147064527342,5.629372786096957e-05,0.0018018266047678331,32.0,0,-23.466926467602157,-24.57150257231734,-23.05393956348215,-0.42784531841464846,-11.221221806598539
5016,0.012120214445555787,5.480260709104445e-05,0.0017540935592305282,32.0,0,-23.578085823146875,-24.68776839557924,-23.164353260002464,-0.4331744106214841,-11.275731051949972
5130,0.012109542709900627,5.3370863611427446e-05,0.0017082615916053717,32.0,0,-23.686317038759075,-24.80098270637905,-23.271868376292588,-0.43835654784636524,-11.328786752545536
5244,0.012099417710161375,5.199506164562474e-05,0.0016642206786976407,32.0,0,-23.791735835781445,-24.911265525494443,-23.376598975981867,-0.44339774408631877,-11.380447138203282
5358,0.012089804726235739,5.06720305695464e-05,0.0016218692897957841,32.0,0,-23.894451293957122,-25.01873001992377,-23.478652604152934,-0.44830366614377803,-11.430767058225754
5472,0.012080671756588468,4.939883941366926e-05,0.0015811135698761641,32.0,0,-23.994566359847063,-25.123483024986637,-23.578130784352584,-0.4530796596028765,-11.479798242517086
5586,0.012071989261522564,4.8172774286815896e-05,0.001541866616387134,32.0,0,-24.092178306746,-25.225625516849774,-23.675129468365725,-0.4577307724377263,-11.5275895376071
5700,0.01206372993494428,4.69913183348194e-05,0.001504047837258423,32.0,0,-24.18737915161048,-25.32525304108934,-23.769739444103816,-0.46226177650567707,-11.574187120453075
5814,0.012055868500989664,4.585213390497814e-05,0.0014675823796018615,32.0,0,-24.28025603378863,-25.422456102166294,-23.862046706258237,-0.46667718714747847,-11.619634692510502
5928,0.012048381532402747,4.475304663572457e-05,0.0014324006200634575,32.0,0,-24.37089155972419,-25.517320518066388,-23.95213279377224,-0.4709812810899259,-11.663973656241602
6042,0.012041247287992917,4.369203123106147e-05,0.0013984377091677664,32.0,0,-24.4593641172802,-25.609927743821107,-24.04007509767458,-0.47517811282337646,-11.707243275954884
